Team,Matches,Points,GoalDiff,GoalsFor,GoalsAgainst,Season
Man City,38,89,61,94,33,2022/23
Arsenal,38,84,45,88,43,2022/23
Man United,38,75,15,58,43,2022/23
Newcastle,38,71,35,68,33,2022/23
Liverpool,38,67,28,75,47,2022/23
Brighton Hove,38,62,19,72,53,2022/23
Aston Villa,38,61,5,51,46,2022/23
Tottenham,38,60,7,70,63,2022/23
Brentford,38,59,12,58,46,2022/23
Fulham,38,52,2,55,53,2022/23
Crystal Palace,38,45,-9,40,49,2022/23
Chelsea,38,44,-9,38,47,2022/23
Wolverhampton,38,41,-27,31,58,2022/23
West Ham,38,40,-13,42,55,2022/23
Bournemouth,38,39,-34,37,71,2022/23
Nottingham,38,38,-30,38,68,2022/23
Everton,38,36,-23,34,57,2022/23
Leicester City,38,34,-17,51,68,2022/23
Leeds United,38,31,-30,48,78,2022/23
Southampton,38,25,-37,36,73,2022/23
Man City,38,91,62,96,34,2023/24
Arsenal,38,89,62,91,29,2023/24
Liverpool,38,82,45,86,41,2023/24
Aston Villa,38,68,15,76,61,2023/24
Tottenham,38,66,13,74,61,2023/24
Chelsea,38,63,14,77,63,2023/24
Newcastle,38,60,23,85,62,2023/24
Man United,38,60,-1,57,58,2023/24
West Ham,38,52,-14,60,74,2023/24
Crystal Palace,38,49,-1,57,58,2023/24
Brighton Hove,38,48,-7,55,62,2023/24
Everton,38,48,-11,40,51,2023/24
Bournemouth,38,48,-13,54,67,2023/24
Fulham,38,47,-6,55,61,2023/24
Wolverhampton,38,-15,46,50,65,2023/24
Brentford,38,39,-9,56,65,2023/24
Nottingham,38,36,-18,49,67,2023/24
Luton Town,38,26,-33,52,85,2023/24
Burnley,38,24,-37,41,78,2023/24
Sheffield Utd,38,16,-69,35,104,2023/24
Liverpool,38,84,45,86,41,2024/25
Arsenal,38,74,35,69,34,2024/25
Man City,38,71,28,72,44,2024/25
Chelsea,38,69,21,64,43,2024/25
Newcastle,38,66,21,68,47,2024/25
Aston Villa,38,66,7,58,51,2024/25
Nottingham,38,65,12,58,46,2024/25
Brighton Hove,38,61,7,66,59,2024/25
Bournemouth,38,56,12,58,46,2024/25
Brentford,38,56,9,66,57,2024/25
Fulham,38,54,0,54,54,2024/25
Crystal Palace,38,53,0,51,51,2024/25
Everton,38,48,-2,42,44,2024/25
West Ham,38,43,-16,46,62,2024/25
Man United,38,42,-10,44,54,2024/25
Wolverhampton,38,42,-15,54,69,2024/25
Tottenham,38,38,-1,64,65,2024/25
Leicester City,38,25,-47,33,80,2024/25
Ipswich Town,38,22,-46,36,82,2024/25
Southampton,38,12,-60,26,86,2024/25
